Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Human,Cocaine addiction,1/49,0.0242368708211977,0.1002280491582906,0,0,46.16203703703704,171.71724838044534,RELA
KEGG_2019_Human,Legionellosis,1/55,0.0271680313352525,0.1002280491582906,0,0,41.02057613168724,147.90847858667095,RELA
KEGG_2019_Human,Cytosolic DNA-sensing pathway,1/63,0.0310639188209322,0.1002280491582906,0,0,35.71326164874552,123.9860268803296,RELA
KEGG_2019_Human,Inflammatory bowel disease (IBD),1/65,0.0320356942028436,0.1002280491582906,0,0,34.59375,119.03379191454992,RELA
KEGG_2019_Human,Mitophagy,1/65,0.0320356942028436,0.1002280491582906,0,0,34.59375,119.03379191454992,RELA
KEGG_2019_Human,Shigellosis,1/65,0.0320356942028436,0.1002280491582906,0,0,34.59375,119.03379191454992,RELA
KEGG_2019_Human,Acute myeloid leukemia,1/66,0.0325212529076381,0.1002280491582906,0,0,34.05982905982906,116.68425597420442,RELA
KEGG_2019_Human,Epithelial cell signaling in Helicobacter pylori infection,1/68,0.0334917127632155,0.1002280491582906,0,0,33.03980099502488,112.21827165973409,RELA
KEGG_2019_Human,Adipocytokine signaling pathway,1/69,0.033976614095502,0.1002280491582906,0,0,32.552287581699346,110.09453231300331,RELA
KEGG_2019_Human,Prolactin signaling pathway,1/70,0.0344612964819566,0.1002280491582906,0,0,32.07890499194847,108.03913520130236,RELA
KEGG_2019_Human,RIG-I-like receptor signaling pathway,1/70,0.0344612964819566,0.1002280491582906,0,0,32.07890499194847,108.03913520130236,RELA
KEGG_2019_Human,B cell receptor signaling pathway,1/71,0.0349457600054768,0.1002280491582906,0,0,31.61904761904762,106.04896194083372,RELA
KEGG_2019_Human,Leishmaniasis,1/74,0.0363978383040335,0.1002280491582906,0,0,30.315068493150687,100.4412761916998,RELA
KEGG_2019_Human,Pancreatic cancer,1/75,0.0368814272661001,0.1002280491582906,0,0,29.903903903903903,98.68429377205668,RELA
KEGG_2019_Human,Chronic myeloid leukemia,1/76,0.0373647978046119,0.1002280491582906,0,0,29.503703703703703,96.97944863399395,RELA
KEGG_2019_Human,Pertussis,1/76,0.0373647978046119,0.1002280491582906,0,0,29.503703703703703,96.97944863399395,RELA
KEGG_2019_Human,Salmonella infection,1/86,0.0421865092184754,0.1002280491582906,0,0,26.01960784313725,82.36909635390154,RELA
KEGG_2019_Human,Th1 and Th2 cell differentiation,1/92,0.0450690923255239,0.1002280491582906,0,0,24.296703296703296,75.30905521028181,RELA
KEGG_2019_Human,IL-17 signaling pathway,1/93,0.0455487630468527,0.1002280491582906,0,0,24.031400966183572,74.2323201774775,RELA
KEGG_2019_Human,Small cell lung cancer,1/93,0.0455487630468527,0.1002280491582906,0,0,24.031400966183572,74.2323201774775,RELA
KEGG_2019_Human,NF-kappa B signaling pathway,1/95,0.0465074540299385,0.1002280491582906,0,0,23.5177304964539,72.15575261450543,RELA
KEGG_2019_Human,Amoebiasis,1/96,0.0469864744639164,0.1002280491582906,0,0,23.269005847953217,71.15418818005004,RELA
KEGG_2019_Human,Prostate cancer,1/97,0.0474652783026245,0.1002280491582906,0,0,23.02546296296296,70.17601174086535,RELA
KEGG_2019_Human,AGE-RAGE signaling pathway in diabetic complications,1/100,0.0489003911418304,0.1002280491582906,0,0,22.32435465768799,67.37423003045056,RELA
KEGG_2019_Human,HIF-1 signaling pathway,1/100,0.0489003911418304,0.1002280491582906,0,0,22.32435465768799,67.37423003045056,RELA
KEGG_2019_Human,T cell receptor signaling pathway,1/101,0.0493783294859182,0.1002280491582906,0,0,22.1,66.48218412151981,RELA
KEGG_2019_Human,Ribosome biogenesis in eukaryotes,1/101,0.0493783294859182,0.1002280491582906,0,0,22.1,66.48218412151981,SBDS
KEGG_2019_Human,Longevity regulating pathway,1/102,0.0498560516752303,0.1002280491582906,0,0,21.88008800880088,65.60996868685889,RELA
KEGG_2019_Human,Chagas disease (American trypanosomiasis),1/103,0.0503335577922038,0.1002280491582906,0,0,21.664488017429196,64.75695871628933,RELA
KEGG_2019_Human,Toll-like receptor signaling pathway,1/104,0.0508108479280287,0.1002280491582906,0,0,21.45307443365696,63.922554665894864,RELA
KEGG_2019_Human,C-type lectin receptor signaling pathway,1/104,0.0508108479280287,0.1002280491582906,0,0,21.45307443365696,63.922554665894864,RELA
KEGG_2019_Human,Th17 cell differentiation,1/107,0.0522414233078482,0.1002280491582906,0,0,20.842767295597483,61.52533852087739,RELA
KEGG_2019_Human,Insulin resistance,1/108,0.0527178503782264,0.1002280491582906,0,0,20.64693665628245,60.75982922373895,RELA
KEGG_2019_Human,TNF signaling pathway,1/110,0.0536700579531296,0.1002280491582906,0,0,20.26605504587156,59.276184666906936,RELA
KEGG_2019_Human,Toxoplasmosis,1/113,0.0550967542198212,0.1002280491582906,0,0,19.72023809523809,57.16235353894127,RELA
KEGG_2019_Human,Sphingolipid signaling pathway,1/119,0.0579443409196367,0.1002280491582906,0,0,18.71186440677966,53.29648635296648,RELA
KEGG_2019_Human,Neurotrophin signaling pathway,1/119,0.0579443409196367,0.1002280491582906,0,0,18.71186440677966,53.29648635296648,RELA
KEGG_2019_Human,Osteoclast differentiation,1/127,0.0617291088801565,0.1036223425503034,0,0,17.516754850088184,48.78415662492463,RELA
KEGG_2019_Human,Relaxin signaling pathway,1/130,0.0631448649915911,0.1036223425503034,0,0,17.1068044788975,47.25453226369782,RELA
KEGG_2019_Human,Measles,1/138,0.0669108202857422,0.1051794816837115,0,0,16.101378751013787,43.54448153303037,RELA
