Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Human,Regulation of actin cytoskeleton,2/214,0.0048461140125766,0.1228981590714772,0,0,23.32311320754717,124.30235406776296,PTK2;PFN2
KEGG_2019_Human,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,1/25,0.0124325865055395,0.1228981590714772,0,0,92.4351851851852,405.55330287566494,PIGB
KEGG_2019_Human,VEGF signaling pathway,1/59,0.0291177336711439,0.1228981590714772,0,0,38.18390804597701,135.03387352863817,PTK2
KEGG_2019_Human,Shigellosis,1/65,0.0320356942028436,0.1228981590714772,0,0,34.59375,119.03379191454992,PFN2
KEGG_2019_Human,Bacterial invasion of epithelial cells,1/74,0.0363978383040335,0.1228981590714772,0,0,30.315068493150687,100.4412761916998,PTK2
KEGG_2019_Human,ErbB signaling pathway,1/85,0.0417053180950637,0.1228981590714772,0,0,26.33068783068783,83.65592938917332,PTK2
KEGG_2019_Human,Salmonella infection,1/86,0.0421865092184754,0.1228981590714772,0,0,26.01960784313725,82.36909635390154,PFN2
KEGG_2019_Human,Morphine addiction,1/91,0.0445892046624482,0.1228981590714772,0,0,24.567901234567906,76.41264641223972,PDE4C
KEGG_2019_Human,Small cell lung cancer,1/93,0.0455487630468527,0.1228981590714772,0,0,24.031400966183572,74.2323201774775,PTK2
KEGG_2019_Human,Amoebiasis,1/96,0.0469864744639164,0.1228981590714772,0,0,23.269005847953217,71.15418818005004,PTK2
KEGG_2019_Human,"Parathyroid hormone synthesis, secretion and action",1/106,0.0517647805964337,0.1228981590714772,0,0,21.04232804232804,62.30728596638391,PDE4C
KEGG_2019_Human,Leukocyte transendothelial migration,1/112,0.0546214040317676,0.1228981590714772,0,0,19.8988988988989,57.85265494685789,PTK2
KEGG_2019_Human,Purine metabolism,1/129,0.0626731600524217,0.1240839726244332,0,0,17.241319444444443,47.75538577401706,PDE4C
KEGG_2019_Human,Fluid shear stress and atherosclerosis,1/139,0.0673806054536277,0.1240839726244332,0,0,15.98389694041868,43.11493252457917,PTK2
KEGG_2019_Human,Axon guidance,1/181,0.0869204071680327,0.1240839726244332,0,0,12.228395061728396,29.871064148550712,PTK2
KEGG_2019_Human,Transcriptional misregulation in cancer,1/186,0.0892218578773956,0.1240839726244332,0,0,11.894894894894897,28.7455506425572,PTK2
KEGG_2019_Human,Chemokine signaling pathway,1/190,0.091059258031028,0.1240839726244332,0,0,11.64079952968842,27.89420530874704,PTK2
KEGG_2019_Human,Focal adhesion,1/199,0.0951812166984404,0.1240839726244332,0,0,11.10662177328844,26.122470758395615,PTK2
KEGG_2019_Human,Proteoglycans in cancer,1/201,0.0960949196820343,0.1240839726244332,0,0,10.994444444444444,25.753593684518663,PTK2
KEGG_2019_Human,Rap1 signaling pathway,1/206,0.0983755452548137,0.1240839726244332,0,0,10.723577235772357,24.867579155291192,PFN2
KEGG_2019_Human,Human immunodeficiency virus 1 infection,1/212,0.1011054591754641,0.1240839726244332,0,0,10.415481832543444,23.86802605954351,PTK2
KEGG_2019_Human,cAMP signaling pathway,1/212,0.1011054591754641,0.1240839726244332,0,0,10.415481832543444,23.86802605954351,PDE4C
KEGG_2019_Human,Human cytomegalovirus infection,1/225,0.1069947692716383,0.1256025552319232,0,0,9.804563492063492,21.912957536249337,PTK2
KEGG_2019_Human,Human papillomavirus infection,1/330,0.1533041383494198,0.1724671556430973,0,0,6.639986491050321,12.452175815383976,PTK2
KEGG_2019_Human,PI3K-Akt signaling pathway,1/354,0.163580733072039,0.1766671917178022,0,0,6.180988353792887,11.1903618987592,PTK2
KEGG_2019_Human,Olfactory transduction,1/444,0.2011258571227268,0.2088614670120625,0,0,4.902683722096815,7.863043837994176,OR2M5
KEGG_2019_Human,Pathways in cancer,1/530,0.2355779531615347,0.2355779531615347,0,0,4.087586641461877,5.909478817995119,PTK2
Reactome_2016,Axon guidance Homo sapiens R-HSA-422475,3/515,0.0017795786873897,0.0402699855772135,0,0,16.304129464285715,103.22761695525487,PSMD10;PTK2;PFN2
Reactome_2016,Signaling by GPCR Homo sapiens R-HSA-372790,4/1293,0.0026633580646164,0.0402699855772135,0,0,9.672097232997157,57.33781268702173,PSMD10;PDE4C;OR2M5;PTK2
Reactome_2016,Apoptosis Homo sapiens R-HSA-109581,2/163,0.0028458600242076,0.0402699855772135,0,0,30.790372670807454,180.4897765427114,PSMD10;PTK2
