Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Human,TNF signaling pathway,2/110,0.0013106018143653,0.0803521759012923,0,0,46.02314814814815,305.4680074437484,LIF;AKT1
KEGG_2019_Human,Signaling pathways regulating pluripotency of stem cells,2/139,0.0020805863688292,0.0803521759012923,0,0,36.22810218978102,223.71235369917136,LIF;AKT1
KEGG_2019_Human,JAK-STAT signaling pathway,2/162,0.0028116916244772,0.0803521759012923,0,0,30.984375,182.00125746513936,LIF;AKT1
KEGG_2019_Human,Tuberculosis,2/179,0.0034192415277145,0.0803521759012923,0,0,27.98446327683616,158.90520004204714,AKT1;ATP6V0A1
KEGG_2019_Human,Human papillomavirus infection,2/330,0.0111908162023708,0.0959171716064819,0,0,14.986280487804878,67.32829015610594,AKT1;ATP6V0A1
KEGG_2019_Human,Collecting duct acid secretion,1/27,0.0134211618656948,0.0959171716064819,0,0,85.31623931623932,367.7917019980768,ATP6V0A1
KEGG_2019_Human,DNA replication,1/36,0.0178587410119325,0.0959171716064819,0,0,63.34920634920635,254.99716559529236,PRIM1
KEGG_2019_Human,Homologous recombination,1/41,0.0203162941970357,0.0959171716064819,0,0,55.41666666666666,215.92173416578157,XRCC3
KEGG_2019_Human,Carbohydrate digestion and absorption,1/44,0.0217881685512207,0.0959171716064819,0,0,51.542635658914726,197.22213203300183,AKT1
KEGG_2019_Human,Vibrio cholerae infection,1/50,0.024725948817258,0.0959171716064819,0,0,45.21768707482993,167.3010120823387,ATP6V0A1
KEGG_2019_Human,Regulation of lipolysis in adipocytes,1/55,0.0271680313352525,0.0959171716064819,0,0,41.02057613168724,147.90847858667095,AKT1
KEGG_2019_Human,Endometrial cancer,1/58,0.0286306380412391,0.0959171716064819,0,0,38.85575048732944,138.06527849839193,AKT1
KEGG_2019_Human,VEGF signaling pathway,1/59,0.0291177336711439,0.0959171716064819,0,0,38.18390804597701,135.03387352863817,AKT1
KEGG_2019_Human,Central carbon metabolism in cancer,1/65,0.0320356942028436,0.0959171716064819,0,0,34.59375,119.03379191454992,AKT1
KEGG_2019_Human,Acute myeloid leukemia,1/66,0.0325212529076381,0.0959171716064819,0,0,34.05982905982906,116.68425597420442,AKT1
KEGG_2019_Human,Non-small cell lung cancer,1/66,0.0325212529076381,0.0959171716064819,0,0,34.05982905982906,116.68425597420442,AKT1
KEGG_2019_Human,Epithelial cell signaling in Helicobacter pylori infection,1/68,0.0334917127632155,0.0959171716064819,0,0,33.03980099502488,112.21827165973409,ATP6V0A1
KEGG_2019_Human,Fc epsilon RI signaling pathway,1/68,0.0334917127632155,0.0959171716064819,0,0,33.03980099502488,112.21827165973409,AKT1
KEGG_2019_Human,Adipocytokine signaling pathway,1/69,0.033976614095502,0.0959171716064819,0,0,32.552287581699346,110.09453231300331,AKT1
KEGG_2019_Human,Renal cell carcinoma,1/69,0.033976614095502,0.0959171716064819,0,0,32.552287581699346,110.09453231300331,AKT1
KEGG_2019_Human,Prolactin signaling pathway,1/70,0.0344612964819566,0.0959171716064819,0,0,32.07890499194847,108.03913520130236,AKT1
KEGG_2019_Human,B cell receptor signaling pathway,1/71,0.0349457600054768,0.0959171716064819,0,0,31.61904761904762,106.04896194083372,AKT1
KEGG_2019_Human,Melanoma,1/72,0.0354300047601861,0.0959171716064819,0,0,31.172143974960875,104.12107765370268,AKT1
KEGG_2019_Human,Pancreatic cancer,1/75,0.0368814272661001,0.0959171716064819,0,0,29.903903903903903,98.68429377205668,AKT1
KEGG_2019_Human,Glioma,1/75,0.0368814272661001,0.0959171716064819,0,0,29.903903903903903,98.68429377205668,AKT1
KEGG_2019_Human,Chronic myeloid leukemia,1/76,0.0373647978046119,0.0959171716064819,0,0,29.503703703703703,96.97944863399395,AKT1
KEGG_2019_Human,Synaptic vesicle cycle,1/78,0.038330883967986,0.0959171716064819,0,0,28.734487734487736,93.71751271850756,ATP6V0A1
KEGG_2019_Human,ErbB signaling pathway,1/85,0.0417053180950637,0.0959171716064819,0,0,26.33068783068783,83.65592938917332,AKT1
KEGG_2019_Human,Colorectal cancer,1/86,0.0421865092184754,0.0959171716064819,0,0,26.01960784313725,82.36909635390154,AKT1
KEGG_2019_Human,Fc gamma R-mediated phagocytosis,1/91,0.0445892046624482,0.0959171716064819,0,0,24.567901234567906,76.41264641223972,AKT1
KEGG_2019_Human,Rheumatoid arthritis,1/91,0.0445892046624482,0.0959171716064819,0,0,24.567901234567906,76.41264641223972,ATP6V0A1
KEGG_2019_Human,Small cell lung cancer,1/93,0.0455487630468527,0.0959171716064819,0,0,24.031400966183572,74.2323201774775,AKT1
KEGG_2019_Human,Prostate cancer,1/97,0.0474652783026245,0.0959171716064819,0,0,23.02546296296296,70.17601174086535,AKT1
KEGG_2019_Human,Choline metabolism in cancer,1/99,0.048422236549271,0.0959171716064819,0,0,22.55328798185941,68.28675824910428,AKT1
KEGG_2019_Human,Progesterone-mediated oocyte maturation,1/99,0.048422236549271,0.0959171716064819,0,0,22.55328798185941,68.28675824910428,AKT1
KEGG_2019_Human,AGE-RAGE signaling pathway in diabetic complications,1/100,0.0489003911418304,0.0959171716064819,0,0,22.32435465768799,67.37423003045056,AKT1
KEGG_2019_Human,HIF-1 signaling pathway,1/100,0.0489003911418304,0.0959171716064819,0,0,22.32435465768799,67.37423003045056,AKT1
KEGG_2019_Human,T cell receptor signaling pathway,1/101,0.0493783294859182,0.0959171716064819,0,0,22.1,66.48218412151981,AKT1
KEGG_2019_Human,Longevity regulating pathway,1/102,0.0498560516752303,0.0959171716064819,0,0,21.88008800880088,65.60996868685889,AKT1
KEGG_2019_Human,Chagas disease (American trypanosomiasis),1/103,0.0503335577922038,0.0959171716064819,0,0,21.664488017429196,64.75695871628933,AKT1
KEGG_2019_Human,Glucagon signaling pathway,1/103,0.0503335577922038,0.0959171716064819,0,0,21.664488017429196,64.75695871628933,AKT1
KEGG_2019_Human,Toll-like receptor signaling pathway,1/104,0.0508108479280287,0.0959171716064819,0,0,21.45307443365696,63.922554665894864,AKT1
KEGG_2019_Human,C-type lectin receptor signaling pathway,1/104,0.0508108479280287,0.0959171716064819,0,0,21.45307443365696,63.922554665894864,AKT1
KEGG_2019_Human,Insulin resistance,1/108,0.0527178503782264,0.0959171716064819,0,0,20.64693665628245,60.75982922373895,AKT1
KEGG_2019_Human,Cholinergic synapse,1/112,0.0546214040317676,0.0959171716064819,0,0,19.8988988988989,57.85265494685789,AKT1
KEGG_2019_Human,Toxoplasmosis,1/113,0.0550967542198212,0.0959171716064819,0,0,19.72023809523809,57.16235353894127,AKT1
KEGG_2019_Human,Thyroid hormone signaling pathway,1/116,0.0565215144325384,0.0959171716064819,0,0,19.20289855072464,55.17249932078826,AKT1
KEGG_2019_Human,Sphingolipid signaling pathway,1/119,0.0579443409196367,0.0959171716064819,0,0,18.71186440677966,53.29648635296648,AKT1
KEGG_2019_Human,Neurotrophin signaling pathway,1/119,0.0579443409196367,0.0959171716064819,0,0,18.71186440677966,53.29648635296648,AKT1
KEGG_2019_Human,AMPK signaling pathway,1/120,0.0584181871042884,0.0959171716064819,0,0,18.55368814192344,52.69484946624011,AKT1
KEGG_2019_Human,Lysosome,1/123,0.0598384389285161,0.0959171716064819,0,0,18.09471766848816,50.95666168783963,ATP6V0A1
KEGG_2019_Human,Platelet activation,1/124,0.0603114275885761,0.0959171716064819,0,0,17.946702800361336,50.39853526607874,AKT1
KEGG_2019_Human,Osteoclast differentiation,1/127,0.0617291088801565,0.0959171716064819,0,0,17.516754850088184,48.78415662492463,AKT1
KEGG_2019_Human,Autophagy,1/128,0.0622012413800101,0.0959171716064819,0,0,17.37795275590551,48.26518401321974,AKT1
KEGG_2019_Human,Purine metabolism,1/129,0.0626731600524217,0.0959171716064819,0,0,17.241319444444443,47.75538577401706,PAICS
KEGG_2019_Human,Relaxin signaling pathway,1/130,0.0631448649915911,0.0959171716064819,0,0,17.1068044788975,47.25453226369782,AKT1
KEGG_2019_Human,Dopaminergic synapse,1/131,0.0636163562830486,0.0959171716064819,0,0,16.974358974358974,46.76240127804881,AKT1
KEGG_2019_Human,FoxO signaling pathway,1/132,0.064087634006374,0.0959171716064819,0,0,16.843935538592028,46.27877775631816,AKT1
KEGG_2019_Human,Oxidative phosphorylation,1/133,0.0645586982519235,0.0959171716064819,0,0,16.715488215488215,45.80345349555044,ATP6V0A1
KEGG_2019_Human,Insulin signaling pathway,1/137,0.0664408221450691,0.0959171716064819,0,0,16.220588235294116,43.98121048429159,AKT1
KEGG_2019_Human,Apelin signaling pathway,1/137,0.0664408221450691,0.0959171716064819,0,0,16.220588235294116,43.98121048429159,AKT1
KEGG_2019_Human,Estrogen signaling pathway,1/137,0.0664408221450691,0.0959171716064819,0,0,16.220588235294116,43.98121048429159,AKT1
KEGG_2019_Human,Measles,1/138,0.0669108202857422,0.0959171716064819,0,0,16.101378751013787,43.54448153303037,AKT1
KEGG_2019_Human,Fluid shear stress and atherosclerosis,1/139,0.0673806054536277,0.0959171716064819,0,0,15.98389694041868,43.11493252457917,AKT1
KEGG_2019_Human,Apoptosis,1/143,0.0692576181978487,0.0959171716064819,0,0,15.530516431924882,41.46526951018726,AKT1
KEGG_2019_Human,Adrenergic signaling in cardiomyocytes,1/145,0.0701948490122624,0.0959171716064819,0,0,15.313271604938272,40.67940505968954,AKT1
KEGG_2019_Human,Breast cancer,1/147,0.07113123037086,0.0959171716064819,0,0,15.101978691019786,39.91798490572592,AKT1
KEGG_2019_Human,Phospholipase D signaling pathway,1/148,0.0715991027195359,0.0959171716064819,0,0,14.998488284202567,39.54610515433267,AKT1
KEGG_2019_Human,Non-alcoholic fatty liver disease (NAFLD),1/149,0.0720667629517442,0.0959171716064819,0,0,14.896396396396396,39.17994060077916,AKT1
KEGG_2019_Human,Gastric cancer,1/149,0.0720667629517442,0.0959171716064819,0,0,14.896396396396396,39.17994060077916,AKT1
KEGG_2019_Human,mTOR signaling pathway,1/152,0.0734684718687947,0.0959171716064819,0,0,14.59823399558499,38.11451335774776,AKT1
KEGG_2019_Human,Phagosome,1/152,0.0734684718687947,0.0959171716064819,0,0,14.59823399558499,38.11451335774776,ATP6V0A1
KEGG_2019_Human,Hepatitis C,1/155,0.0748682748782873,0.0964057238158768,0,0,14.311688311688313,37.09625453392642,AKT1
KEGG_2019_Human,Cellular senescence,1/160,0.0771970508155352,0.0980611186035177,0,0,13.858141160027952,35.496159958699565,AKT1
KEGG_2019_Human,Hepatitis B,1/163,0.0785917826774274,0.0985017009557091,0,0,13.599451303155009,34.5900429790609,AKT1
KEGG_2019_Human,cGMP-PKG signaling pathway,1/166,0.0799846170711101,0.0987758351895435,0,0,13.35016835016835,33.721469913824805,AKT1
KEGG_2019_Human,Hepatocellular carcinoma,1/168,0.0809121203148388,0.0987758351895435,0,0,13.188955422488355,33.16219935568782,AKT1
KEGG_2019_Human,Influenza A,1/171,0.082301797344196,0.0991842173122362,0,0,12.954248366013072,32.35145191648386,AKT1
KEGG_2019_Human,Kaposi sarcoma-associated herpesvirus infection,1/186,0.0892218578773956,0.1061627169680403,0,0,11.894894894894897,28.7455506425572,AKT1
KEGG_2019_Human,Chemokine signaling pathway,1/190,0.091059258031028,0.1069946281864579,0,0,11.64079952968842,27.89420530874704,AKT1
KEGG_2019_Human,Focal adhesion,1/199,0.0951812166984404,0.1088303909651955,0,0,11.10662177328844,26.122470758395615,AKT1
KEGG_2019_Human,Epstein-Barr virus infection,1/201,0.0960949196820343,0.1088303909651955,0,0,10.994444444444444,25.753593684518663,AKT1
KEGG_2019_Human,Proteoglycans in cancer,1/201,0.0960949196820343,0.1088303909651955,0,0,10.994444444444444,25.753593684518663,AKT1
KEGG_2019_Human,Rap1 signaling pathway,1/206,0.0983755452548137,0.1100869196899105,0,0,10.723577235772357,24.867579155291192,AKT1
KEGG_2019_Human,Human immunodeficiency virus 1 infection,1/212,0.1011054591754641,0.1105106181685305,0,0,10.415481832543444,23.86802605954351,AKT1
KEGG_2019_Human,cAMP signaling pathway,1/212,0.1011054591754641,0.1105106181685305,0,0,10.415481832543444,23.86802605954351,AKT1
KEGG_2019_Human,Human T-cell leukemia virus 1 infection,1/219,0.1042809551708208,0.1126713768512316,0,0,10.077471967380225,22.78180358653809,AKT1
KEGG_2019_Human,Human cytomegalovirus infection,1/225,0.1069947692716383,0.1142898671765227,0,0,9.804563492063492,21.912957536249337,AKT1
KEGG_2019_Human,Ras signaling pathway,1/232,0.1101515314641288,0.1163398197486304,0,0,9.504088504088504,20.96505269691893,AKT1
KEGG_2019_Human,Cytokine-cytokine receptor interaction,1/294,0.1376760925405506,0.1426668849497968,0,0,7.469472885855138,14.81085557729292,LIF
KEGG_2019_Human,MAPK signaling pathway,1/295,0.1381136864939522,0.1426668849497968,0,0,7.443688586545729,14.7361074105084,AKT1
KEGG_2019_Human,PI3K-Akt signaling pathway,1/354,0.163580733072039,0.1671368359649095,0,0,6.180988353792887,11.1903618987592,AKT1
KEGG_2019_Human,Herpes simplex virus 1 infection,1/492,0.2205233633620704,0.2228945823229528,0,0,4.412536773025572,6.670659674136806,AKT1
KEGG_2019_Human,Pathways in cancer,1/530,0.2355779531615347,0.2355779531615347,0,0,4.087586641461877,5.909478817995119,AKT1
Reactome_2016,DNA replication initiation Homo sapiens R-HSA-68952,1/6,0.0029965781728721,0.0523443561818247,0,0,444.1111111111111,2580.4117942926405,PRIM1
Reactome_2016,Telomere C-strand synthesis initiation Homo sapiens R-HSA-174430,1/6,0.0029965781728721,0.0523443561818247,0,0,444.1111111111111,2580.4117942926405,PRIM1
Reactome_2016,Axonal growth inhibition (RHOA activation) Homo sapiens R-HSA-193634,1/8,0.0039936462613403,0.0523443561818247,0,0,317.1904761904762,1751.8590547314027,LINGO1
Reactome_2016,p75NTR regulates axonogenesis Homo sapiens R-HSA-193697,1/9,0.0044918441075108,0.0523443561818247,0,0,277.52777777777777,1500.1741678966396,LINGO1
Reactome_2016,AKT phosphorylates targets in the nucleus Homo sapiens R-HSA-198693,1/9,0.0044918441075108,0.0523443561818247,0,0,277.52777777777777,1500.1741678966396,AKT1
Reactome_2016,PTK6 Regulates RTKs and Their Effectors AKT1 and DOK1 Homo sapiens R-HSA-8849469,1/9,0.0044918441075108,0.0523443561818247,0,0,277.52777777777777,1500.1741678966396,AKT1
Reactome_2016,eNOS activation Homo sapiens R-HSA-203615,1/10,0.0049898178893478,0.0523443561818247,0,0,246.679012345679,1307.4865498601448,AKT1
