Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Human,AMPK signaling pathway,2/120,0.0015567588670392,0.0700541490167645,0,0,42.10169491525424,272.19374207815827,RAB10;CREB1
KEGG_2019_Human,Circadian rhythm,1/31,0.0153956417644848,0.1068679644099802,0,0,73.92592592592592,308.5424792813036,CREB1
KEGG_2019_Human,Vasopressin-regulated water reabsorption,1/44,0.0217881685512207,0.1068679644099802,0,0,51.542635658914726,197.22213203300183,CREB1
KEGG_2019_Human,Cocaine addiction,1/49,0.0242368708211977,0.1068679644099802,0,0,46.16203703703704,171.71724838044534,CREB1
KEGG_2019_Human,Legionellosis,1/55,0.0271680313352525,0.1068679644099802,0,0,41.02057613168724,147.90847858667095,RAB1A
KEGG_2019_Human,Cortisol synthesis and secretion,1/65,0.0320356942028436,0.1068679644099802,0,0,34.59375,119.03379191454992,CREB1
KEGG_2019_Human,Amphetamine addiction,1/68,0.0334917127632155,0.1068679644099802,0,0,33.03980099502488,112.21827165973409,CREB1
KEGG_2019_Human,Renin secretion,1/69,0.033976614095502,0.1068679644099802,0,0,32.552287581699346,110.09453231300331,CREB1
KEGG_2019_Human,Adherens junction,1/72,0.0354300047601861,0.1068679644099802,0,0,31.172143974960875,104.12107765370268,CTNND1
KEGG_2019_Human,Thyroid hormone synthesis,1/74,0.0363978383040335,0.1068679644099802,0,0,30.315068493150687,100.4412761916998,CREB1
KEGG_2019_Human,Antigen processing and presentation,1/77,0.0378479500125182,0.1068679644099802,0,0,29.114035087719294,95.32454660857232,CREB1
KEGG_2019_Human,Insulin secretion,1/86,0.0421865092184754,0.1068679644099802,0,0,26.01960784313725,82.36909635390154,CREB1
KEGG_2019_Human,Prostate cancer,1/97,0.0474652783026245,0.1068679644099802,0,0,23.02546296296296,70.17601174086535,CREB1
KEGG_2019_Human,Circadian entrainment,1/97,0.0474652783026245,0.1068679644099802,0,0,23.02546296296296,70.17601174086535,CREB1
KEGG_2019_Human,Aldosterone synthesis and secretion,1/98,0.047943865635835,0.1068679644099802,0,0,22.78694158075601,69.220448859451,CREB1
KEGG_2019_Human,Melanogenesis,1/101,0.0493783294859182,0.1068679644099802,0,0,22.1,66.48218412151981,CREB1
KEGG_2019_Human,Longevity regulating pathway,1/102,0.0498560516752303,0.1068679644099802,0,0,21.88008800880088,65.60996868685889,CREB1
KEGG_2019_Human,Glucagon signaling pathway,1/103,0.0503335577922038,0.1068679644099802,0,0,21.664488017429196,64.75695871628933,CREB1
KEGG_2019_Human,"Parathyroid hormone synthesis, secretion and action",1/106,0.0517647805964337,0.1068679644099802,0,0,21.04232804232804,62.30728596638391,CREB1
KEGG_2019_Human,Insulin resistance,1/108,0.0527178503782264,0.1068679644099802,0,0,20.64693665628245,60.75982922373895,CREB1
KEGG_2019_Human,TNF signaling pathway,1/110,0.0536700579531296,0.1068679644099802,0,0,20.26605504587156,59.276184666906936,CREB1
KEGG_2019_Human,Leukocyte transendothelial migration,1/112,0.0546214040317676,0.1068679644099802,0,0,19.8988988988989,57.85265494685789,CTNND1
KEGG_2019_Human,Cholinergic synapse,1/112,0.0546214040317676,0.1068679644099802,0,0,19.8988988988989,57.85265494685789,CREB1
KEGG_2019_Human,Osteoclast differentiation,1/127,0.0617291088801565,0.1101052320283534,0,0,17.516754850088184,48.78415662492463,CREB1
KEGG_2019_Human,Relaxin signaling pathway,1/130,0.0631448649915911,0.1101052320283534,0,0,17.1068044788975,47.25453226369782,CREB1
KEGG_2019_Human,Dopaminergic synapse,1/131,0.0636163562830486,0.1101052320283534,0,0,16.974358974358974,46.76240127804881,CREB1
KEGG_2019_Human,Estrogen signaling pathway,1/137,0.0664408221450691,0.1107347035751152,0,0,16.220588235294116,43.98121048429159,CREB1
KEGG_2019_Human,Adrenergic signaling in cardiomyocytes,1/145,0.0701948490122624,0.1124783677562486,0,0,15.313271604938272,40.67940505968954,CREB1
KEGG_2019_Human,Cushing syndrome,1/155,0.0748682748782873,0.1124783677562486,0,0,14.311688311688313,37.09625453392642,CREB1
KEGG_2019_Human,Hepatitis B,1/163,0.0785917826774274,0.1124783677562486,0,0,13.599451303155009,34.5900429790609,CREB1
KEGG_2019_Human,Protein processing in endoplasmic reticulum,1/165,0.0795205496250796,0.1124783677562486,0,0,13.432249322493226,34.00696027874125,ERLEC1
KEGG_2019_Human,cGMP-PKG signaling pathway,1/166,0.0799846170711101,0.1124783677562486,0,0,13.35016835016835,33.721469913824805,CREB1
KEGG_2019_Human,Tuberculosis,1/179,0.0859983623481033,0.1144316772047363,0,0,12.367041198501871,30.34163310031636,CREB1
KEGG_2019_Human,Alcoholism,1/180,0.0864594894435785,0.1144316772047363,0,0,12.297330850403476,30.10484116010009,CREB1
KEGG_2019_Human,Kaposi sarcoma-associated herpesvirus infection,1/186,0.0892218578773956,0.1147138172709372,0,0,11.894894894894897,28.7455506425572,CREB1
KEGG_2019_Human,Huntington disease,1/193,0.0924351181411287,0.1155438976764109,0,0,11.457175925925926,27.282380766060548,CREB1
KEGG_2019_Human,Viral carcinogenesis,1/201,0.0960949196820343,0.1164973562228057,0,0,10.994444444444444,25.753593684518663,CREB1
KEGG_2019_Human,Rap1 signaling pathway,1/206,0.0983755452548137,0.1164973562228057,0,0,10.723577235772357,24.867579155291192,CTNND1
KEGG_2019_Human,cAMP signaling pathway,1/212,0.1011054591754641,0.1166601452024586,0,0,10.415481832543444,23.86802605954351,CREB1
KEGG_2019_Human,Human T-cell leukemia virus 1 infection,1/219,0.1042809551708208,0.1173160745671734,0,0,10.077471967380225,22.78180358653809,CREB1
KEGG_2019_Human,Human cytomegalovirus infection,1/225,0.1069947692716383,0.11743328334692,0,0,9.804563492063492,21.912957536249337,CREB1
KEGG_2019_Human,Thermogenesis,1/231,0.1097011811998824,0.1175369798570169,0,0,9.545893719806765,21.096378767938067,CREB1
KEGG_2019_Human,Endocytosis,1/244,0.1155397655924793,0.120913708178176,0,0,9.029263831732967,19.486420117835436,RAB10
KEGG_2019_Human,Human papillomavirus infection,1/330,0.1533041383494198,0.1567883233119066,0,0,6.639986491050321,12.452175815383976,CREB1
KEGG_2019_Human,PI3K-Akt signaling pathway,1/354,0.163580733072039,0.163580733072039,0,0,6.180988353792887,11.1903618987592,CREB1
Reactome_2016,CREB phosphorylation Homo sapiens R-HSA-199920,1/7,0.0034952242970889,0.0905318410085914,0,0,370.0740740740741,2093.271349114512,CREB1
Reactome_2016,CREB phosphorylation through the activation of Adenylate Cyclase Homo sapiens R-HSA-442720,1/7,0.0034952242970889,0.0905318410085914,0,0,370.0740740740741,2093.271349114512,CREB1
Reactome_2016,AKT phosphorylates targets in the nucleus Homo sapiens R-HSA-198693,1/9,0.0044918441075108,0.0905318410085914,0,0,277.52777777777777,1500.1741678966396,CREB1
Reactome_2016,NOTCH2 intracellular domain regulates transcription Homo sapiens R-HSA-2197563,1/12,0.0059850935124877,0.0905318410085914,0,0,201.8080808080808,1032.9512945731403,CREB1
Reactome_2016,Golgi Cisternae Pericentriolar Stack Reorganization Homo sapiens R-HSA-162658,1/14,0.0069794736802133,0.0905318410085914,0,0,170.74358974358975,847.7046615380154,RAB1A
Reactome_2016,CREB phosphorylation through the activation of CaMKII Homo sapiens R-HSA-442729,1/15,0.0074763281564485,0.0905318410085914,0,0,158.53968253968253,776.212425317664,CREB1
Reactome_2016,PKA-mediated phosphorylation of CREB Homo sapiens R-HSA-111931,1/17,0.0084693662805775,0.0905318410085914,0,0,138.70833333333334,661.8190142974174,CREB1
Reactome_2016,Diseases of signal transduction Homo sapiens R-HSA-5663202,2/288,0.0086158106931674,0.0905318410085914,0,0,17.223776223776223,81.88452443204534,ERLEC1;CREB1
Reactome_2016,Nuclear Events (kinase and transcription factor activation) Homo sapiens R-HSA-198725,1/24,0.0119379646683197,0.0905318410085914,0,0,96.45893719806764,427.1232267263204,CREB1
Reactome_2016,Constitutive Signaling by AKT1 E17K in Cancer Homo sapiens R-HSA-5674400,1/25,0.0124325865055395,0.0905318410085914,0,0,92.4351851851852,405.55330287566494,CREB1
Reactome_2016,CaM pathway Homo sapiens R-HSA-111997,1/26,0.0129269855424658,0.0905318410085914,0,0,88.73333333333333,385.85142072369416,CREB1
Reactome_2016,Calmodulin induced events Homo sapiens R-HSA-111933,1/26,0.0129269855424658,0.0905318410085914,0,0,88.73333333333333,385.85142072369416,CREB1
Reactome_2016,VEGFR2 mediated vascular permeability Homo sapiens R-HSA-5218920,1/27,0.0134211618656948,0.0905318410085914,0,0,85.31623931623932,367.7917019980768,CTNND1
Reactome_2016,CREB phosphorylation through the activation of Ras Homo sapiens R-HSA-442742,1/27,0.0134211618656948,0.0905318410085914,0,0,85.31623931623932,367.7917019980768,CREB1
Reactome_2016,Ca-dependent events Homo sapiens R-HSA-111996,1/28,0.0139151155631478,0.0905318410085914,0,0,82.1522633744856,351.18281785053944,CREB1
Reactome_2016,MAPK targets/ Nuclear events mediated by MAP kinases Homo sapiens R-HSA-450282,1/30,0.0149023554252653,0.0905318410085914,0,0,76.47892720306514,321.6884165593148,CREB1
Reactome_2016,Adherens junctions interactions Homo sapiens R-HSA-418990,1/31,0.0153956417644848,0.0905318410085914,0,0,73.92592592592592,308.5424792813036,CTNND1
Reactome_2016,Signaling by NOTCH2 Homo sapiens R-HSA-1980145,1/32,0.0158887058240637,0.0905318410085914,0,0,71.53763440860214,296.3193797028303,CREB1
Reactome_2016,DAG and IP3 signaling Homo sapiens R-HSA-1489509,1/32,0.0158887058240637,0.0905318410085914,0,0,71.53763440860214,296.3193797028303,CREB1
Reactome_2016,EGFR interacts with phospholipase C-gamma Homo sapiens R-HSA-212718,1/34,0.0168741674533513,0.0905318410085914,0,0,67.1952861952862,274.2892350890436,CREB1
Reactome_2016,PLC-gamma1 signalling Homo sapiens R-HSA-167021,1/34,0.0168741674533513,0.0905318410085914,0,0,67.1952861952862,274.2892350890436,CREB1
Reactome_2016,Post NMDA receptor activation events Homo sapiens R-HSA-438064,1/35,0.0173665651965465,0.0905318410085914,0,0,65.2156862745098,264.33277144453854,CREB1
Reactome_2016,Membrane Trafficking Homo sapiens R-HSA-199991,2/420,0.0177083431149098,0.0905318410085914,0,0,11.70574162679426,47.21767695132181,RAB10;RAB1A
Reactome_2016,Activation of NMDA receptor upon glutamate binding and postsynaptic events Homo sapiens R-HSA-442755,1/39,0.0193339377497966,0.0905318410085914,0,0,58.33918128654971,230.20018425524987,CREB1
Reactome_2016,Transcriptional activation of mitochondrial biogenesis Homo sapiens R-HSA-2151201,1/40,0.019825226718581,0.0905318410085914,0,0,56.84045584045584,222.8600635525676,CREB1
Reactome_2016,"BMAL1:CLOCK,NPAS2 activates circadian gene expression Homo sapiens R-HSA-1368108",1/42,0.0208071402680988,0.0905318410085914,0,0,54.06233062330623,209.35416251688036,CREB1
Reactome_2016,Phospholipase C-mediated cascade; FGFR3 Homo sapiens R-HSA-5654227,1/44,0.0217881685512207,0.0905318410085914,0,0,51.542635658914726,197.22213203300183,CREB1
Reactome_2016,PLC beta mediated events Homo sapiens R-HSA-112043,1/44,0.0217881685512207,0.0905318410085914,0,0,51.542635658914726,197.22213203300183,CREB1
Reactome_2016,G-protein mediated events Homo sapiens R-HSA-112040,1/45,0.0222783509374741,0.0905318410085914,0,0,50.36868686868687,191.60953052295557,CREB1
Reactome_2016,Phospholipase C-mediated cascade; FGFR4 Homo sapiens R-HSA-5654228,1/46,0.0227683122669265,0.0905318410085914,0,0,49.24691358024691,186.27081295676348,CREB1
Reactome_2016,Phospholipase C-mediated cascade: FGFR1 Homo sapiens R-HSA-5654219,1/47,0.0232580526351399,0.0905318410085914,0,0,48.17391304347826,181.18709015535836,CREB1
Reactome_2016,Vesicle-mediated transport Homo sapiens R-HSA-5653656,2/492,0.0238456836780265,0.0905318410085914,0,0,9.948979591836734,37.17090055601639,RAB10;RAB1A
Reactome_2016,Mitochondrial biogenesis Homo sapiens R-HSA-1592230,1/49,0.0242368708211977,0.0905318410085914,0,0,46.16203703703704,171.71724838044534,CREB1
Reactome_2016,Phospholipase C-mediated cascade; FGFR2 Homo sapiens R-HSA-5654221,1/49,0.0242368708211977,0.0905318410085914,0,0,46.16203703703704,171.71724838044534,CREB1
Reactome_2016,Hh mutants that don't undergo autocatalytic processing are degraded by ERAD Homo sapiens R-HSA-5362768,1/55,0.0271680313352525,0.0970131309379923,0,0,41.02057613168724,147.90847858667095,ERLEC1
Reactome_2016,Hh mutants abrogate ligand secretion Homo sapiens R-HSA-5387390,1/57,0.0281433225032358,0.0970131309379923,0,0,39.5515873015873,141.21677360109922,ERLEC1
Reactome_2016,Translocation of GLUT4 to the plasma membrane Homo sapiens R-HSA-1445148,1/60,0.0296046094730556,0.0970131309379923,0,0,37.53483992467044,132.1160756075347,RAB10
Reactome_2016,MAP kinase activation in TLR cascade Homo sapiens R-HSA-450294,1/60,0.0296046094730556,0.0970131309379923,0,0,37.53483992467044,132.1160756075347,CREB1
Reactome_2016,Cell-cell junction organization Homo sapiens R-HSA-421270,1/61,0.030091265543298,0.0970131309379923,0,0,36.907407407407405,129.30585220246812,CTNND1
Reactome_2016,Circadian Clock Homo sapiens R-HSA-400253,1/63,0.0310639188209322,0.0970131309379923,0,0,35.71326164874552,123.9860268803296,CREB1
Reactome_2016,Hedgehog ligand biogenesis Homo sapiens R-HSA-5358346,1/64,0.0315499162070124,0.0970131309379923,0,0,35.14462081128748,121.46628828977606,ERLEC1
Reactome_2016,COPII (Coat Protein 2) Mediated Vesicle Transport Homo sapiens R-HSA-204005,1/68,0.0334917127632155,0.0970131309379923,0,0,33.03980099502488,112.21827165973409,RAB1A
Reactome_2016,TRAF6 Mediated Induction of proinflammatory cytokines Homo sapiens R-HSA-168180,1/72,0.0354300047601861,0.0970131309379923,0,0,31.172143974960875,104.12107765370268,CREB1
Reactome_2016,COPI-mediated anterograde transport Homo sapiens R-HSA-6807878,1/78,0.038330883967986,0.0970131309379923,0,0,28.734487734487736,93.71751271850756,RAB1A
Reactome_2016,Opioid Signalling Homo sapiens R-HSA-111885,1/81,0.039778377237952,0.0970131309379923,0,0,27.65277777777778,89.16449601956255,CREB1
Reactome_2016,COPI-dependent Golgi-to-ER retrograde traffic Homo sapiens R-HSA-6811434,1/81,0.039778377237952,0.0970131309379923,0,0,27.65277777777778,89.16449601956255,RAB1A
Reactome_2016,Toll Like Receptor 10 (TLR10) Cascade Homo sapiens R-HSA-168142,1/82,0.0402604390785998,0.0970131309379923,0,0,27.310013717421125,87.73030443537515,CREB1
Reactome_2016,Toll Like Receptor 5 (TLR5) Cascade Homo sapiens R-HSA-168176,1/82,0.0402604390785998,0.0970131309379923,0,0,27.310013717421125,87.73030443537515,CREB1
Reactome_2016,MyD88 cascade initiated on plasma membrane Homo sapiens R-HSA-975871,1/82,0.0402604390785998,0.0970131309379923,0,0,27.310013717421125,87.73030443537515,CREB1
Reactome_2016,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation Homo sapiens R-HSA-975138,1/83,0.0407422831141832,0.0970131309379923,0,0,26.97560975609756,86.33513767066536,CREB1
Reactome_2016,MyD88 dependent cascade initiated on endosome Homo sapiens R-HSA-975155,1/85,0.0417053180950637,0.0970131309379923,0,0,26.33068783068783,83.65592938917332,CREB1
Reactome_2016,Toll Like Receptor 7/8 (TLR7/8) Cascade Homo sapiens R-HSA-168181,1/85,0.0417053180950637,0.0970131309379923,0,0,26.33068783068783,83.65592938917332,CREB1
Reactome_2016,Cell junction organization Homo sapiens R-HSA-446728,1/86,0.0421865092184754,0.0970131309379923,0,0,26.01960784313725,82.36909635390154,CTNND1
Reactome_2016,PI3K/AKT Signaling in Cancer Homo sapiens R-HSA-2219528,1/86,0.0421865092184754,0.0970131309379923,0,0,26.01960784313725,82.36909635390154,CREB1
Reactome_2016,Toll Like Receptor 9 (TLR9) Cascade Homo sapiens R-HSA-168138,1/88,0.0431482391729825,0.0970131309379923,0,0,25.41890166028097,79.89449726957503,CREB1
Reactome_2016,MyD88:Mal cascade initiated on plasma membrane Homo sapiens R-HSA-166058,1/92,0.0450690923255239,0.0970131309379923,0,0,24.296703296703296,75.30905521028181,CREB1
Reactome_2016,Toll Like Receptor TLR1:TLR2 Cascade Homo sapiens R-HSA-168179,1/92,0.0450690923255239,0.0970131309379923,0,0,24.296703296703296,75.30905521028181,CREB1
Reactome_2016,Toll Like Receptor TLR6:TLR2 Cascade Homo sapiens R-HSA-168188,1/92,0.0450690923255239,0.0970131309379923,0,0,24.296703296703296,75.30905521028181,CREB1
Reactome_2016,Toll Like Receptor 2 (TLR2) Cascade Homo sapiens R-HSA-181438,1/92,0.0450690923255239,0.0970131309379923,0,0,24.296703296703296,75.30905521028181,CREB1
Reactome_2016,MyD88-independent TLR3/TLR4 cascade Homo sapiens R-HSA-166166,1/97,0.0474652783026245,0.0972272636198922,0,0,23.02546296296296,70.17601174086535,CREB1
Reactome_2016,Toll Like Receptor 3 (TLR3) Cascade Homo sapiens R-HSA-168164,1/97,0.0474652783026245,0.0972272636198922,0,0,23.02546296296296,70.17601174086535,CREB1
Reactome_2016,TRIF-mediated TLR3/TLR4 signaling Homo sapiens R-HSA-937061,1/97,0.0474652783026245,0.0972272636198922,0,0,23.02546296296296,70.17601174086535,CREB1
Reactome_2016,Disease Homo sapiens R-HSA-1643685,2/725,0.048686357621663,0.0981455145706541,0,0,6.662171507607193,20.13545682122577,ERLEC1;CREB1
Reactome_2016,Mitotic Prophase Homo sapiens R-HSA-68875,1/107,0.0522414233078482,0.101573600835484,0,0,20.842767295597483,61.52533852087739,RAB1A
Reactome_2016,Golgi-to-ER retrograde transport Homo sapiens R-HSA-8856688,1/110,0.0536700579531296,0.101573600835484,0,0,20.26605504587156,59.276184666906936,RAB1A
Reactome_2016,Activated TLR4 signalling Homo sapiens R-HSA-166054,1/112,0.0546214040317676,0.101573600835484,0,0,19.8988988988989,57.85265494685789,CREB1
Reactome_2016,Signaling by NOTCH Homo sapiens R-HSA-157118,1/122,0.0593652360295357,0.101573600835484,0,0,18.245179063360883,51.52523363729626,CREB1
Reactome_2016,Toll Like Receptor 4 (TLR4) Cascade Homo sapiens R-HSA-166016,1/122,0.0593652360295357,0.101573600835484,0,0,18.245179063360883,51.52523363729626,CREB1
Reactome_2016,PI-3K cascade:FGFR1 Homo sapiens R-HSA-5654689,1/122,0.0593652360295357,0.101573600835484,0,0,18.245179063360883,51.52523363729626,CREB1
Reactome_2016,PI-3K cascade:FGFR3 Homo sapiens R-HSA-5654710,1/122,0.0593652360295357,0.101573600835484,0,0,18.245179063360883,51.52523363729626,CREB1
Reactome_2016,PI3K events in ERBB4 signaling Homo sapiens R-HSA-1250342,1/122,0.0593652360295357,0.101573600835484,0,0,18.245179063360883,51.52523363729626,CREB1
Reactome_2016,PIP3 activates AKT signaling Homo sapiens R-HSA-1257604,1/122,0.0593652360295357,0.101573600835484,0,0,18.245179063360883,51.52523363729626,CREB1
Reactome_2016,PI-3K cascade:FGFR4 Homo sapiens R-HSA-5654720,1/122,0.0593652360295357,0.101573600835484,0,0,18.245179063360883,51.52523363729626,CREB1
Reactome_2016,PI-3K cascade:FGFR2 Homo sapiens R-HSA-5654695,1/122,0.0593652360295357,0.101573600835484,0,0,18.245179063360883,51.52523363729626,CREB1
Reactome_2016,GAB1 signalosome Homo sapiens R-HSA-180292,1/125,0.0607842020747778,0.101573600835484,0,0,17.801075268817204,49.85058258369441,CREB1
Reactome_2016,PI3K/AKT activation Homo sapiens R-HSA-198203,1/125,0.0607842020747778,0.101573600835484,0,0,17.801075268817204,49.85058258369441,CREB1
Reactome_2016,Cell-Cell communication Homo sapiens R-HSA-1500931,1/131,0.0636163562830486,0.1035804775377843,0,0,16.974358974358974,46.76240127804881,CTNND1
Reactome_2016,ER to Golgi Anterograde Transport Homo sapiens R-HSA-199977,1/131,0.0636163562830486,0.1035804775377843,0,0,16.974358974358974,46.76240127804881,RAB1A
Reactome_2016,Signaling by Hedgehog Homo sapiens R-HSA-5358351,1/136,0.0659706109648584,0.1060540201586965,0,0,16.34156378600823,44.42529163101855,ERLEC1
Reactome_2016,Toll-Like Receptors Cascades Homo sapiens R-HSA-168898,1/140,0.0678501777388971,0.1077121571604992,0,0,15.86810551558753,42.69239642260823,CREB1
Reactome_2016,Neurotransmitter Receptor Binding And Downstream Transmission In The  Postsynaptic Cell Homo sapiens R-HSA-112314,1/142,0.068788684027997,0.1078538626117977,0,0,15.641449960598896,41.86771974668722,CREB1
Reactome_2016,Role of LAT2/NTAL/LAB on calcium mobilization Homo sapiens R-HSA-2730905,1/162,0.0781270830081257,0.1195438499039995,0,0,13.684610075914424,34.88779821293247,CREB1
Reactome_2016,Transport to the Golgi and subsequent modification Homo sapiens R-HSA-948021,1/162,0.0781270830081257,0.1195438499039995,0,0,13.684610075914424,34.88779821293247,RAB1A
Reactome_2016,Intra-Golgi and retrograde Golgi-to-ER traffic Homo sapiens R-HSA-6811442,1/179,0.0859983623481033,0.1300213335501085,0,0,12.367041198501871,30.34163310031636,RAB1A
Reactome_2016,Downstream signaling events of B Cell Receptor (BCR) Homo sapiens R-HSA-1168372,1/192,0.0919767065184695,0.1374240203275956,0,0,11.517742873763815,27.48386752497333,CREB1
Reactome_2016,Transmission across Chemical Synapses Homo sapiens R-HSA-112315,1/211,0.1006509907540579,0.1486357654158762,0,0,10.465608465608463,24.030044701270555,CREB1
Reactome_2016,Signaling by the B Cell Receptor (BCR) Homo sapiens R-HSA-983705,1/233,0.1106016766841394,0.1614530222860427,0,0,9.46264367816092,20.835038388425733,CREB1
Reactome_2016,Signal Transduction Homo sapiens R-HSA-162582,3/2465,0.1156147695746196,0.1668531333633715,0,0,3.0511779041429734,6.582890595831604,ERLEC1;CREB1;CTNND1
Reactome_2016,Asparagine N-linked glycosylation Homo sapiens R-HSA-446203,1/259,0.122233756645514,0.1744234504941605,0,0,8.497846683893195,17.860944367236254,RAB1A
Reactome_2016,NCAM signaling for neurite out-growth Homo sapiens R-HSA-375165,1/266,0.1253419862578444,0.1761646734090886,0,0,8.270440251572326,17.175300907975267,CREB1
Reactome_2016,M Phase Homo sapiens R-HSA-68886,1/268,0.126228230552969,0.1761646734090886,0,0,8.207657095297545,16.98708959891292,RAB1A
Reactome_2016,Neuronal System Homo sapiens R-HSA-112316,1/301,0.1407350559764364,0.1903582046167933,0,0,7.292592592592593,14.299871191560747,CREB1
Reactome_2016,VEGFA-VEGFR2 Pathway Homo sapiens R-HSA-4420097,1/320,0.1489887902311331,0.1903582046167933,0,0,6.851619644723093,13.044690449135228,CTNND1
Reactome_2016,Signaling by SCF-KIT Homo sapiens R-HSA-1433557,1/325,0.1511489323295789,0.1903582046167933,0,0,6.744170096021948,12.743039401590616,CREB1
Reactome_2016,Organelle biogenesis and maintenance Homo sapiens R-HSA-1852241,1/326,0.1515803680863355,0.1903582046167933,0,0,6.723076923076923,12.68402122249695,CREB1
Reactome_2016,Signaling by VEGF Homo sapiens R-HSA-194138,1/328,0.1524426476288117,0.1903582046167933,0,0,6.681277607883112,12.5672615944763,CTNND1
Reactome_2016,Downstream signaling of activated FGFR2 Homo sapiens R-HSA-5654696,1/329,0.1528734915506339,0.1903582046167933,0,0,6.6605691056910565,12.509511580612491,CREB1
Reactome_2016,Downstream signaling of activated FGFR4 Homo sapiens R-HSA-5654716,1/329,0.1528734915506339,0.1903582046167933,0,0,6.6605691056910565,12.509511580612491,CREB1
Reactome_2016,Downstream signaling of activated FGFR3 Homo sapiens R-HSA-5654708,1/329,0.1528734915506339,0.1903582046167933,0,0,6.6605691056910565,12.509511580612491,CREB1
Reactome_2016,Signaling by ERBB4 Homo sapiens R-HSA-1236394,1/330,0.1533041383494198,0.1903582046167933,0,0,6.639986491050321,12.452175815383976,CREB1
Reactome_2016,Signaling by FGFR4 Homo sapiens R-HSA-5654743,1/332,0.1541648409001718,0.1903582046167933,0,0,6.599194360523666,12.338730503015052,CREB1
Reactome_2016,Downstream signaling of activated FGFR1 Homo sapiens R-HSA-5654687,1/332,0.1541648409001718,0.1903582046167933,0,0,6.599194360523666,12.338730503015052,CREB1
Reactome_2016,Signaling by FGFR3 Homo sapiens R-HSA-5654741,1/333,0.1545948968175073,0.1903582046167933,0,0,6.578982597054886,12.282612824708192,CREB1
Reactome_2016,Signaling by FGFR1 Homo sapiens R-HSA-5654736,1/336,0.1558838840956417,0.1903582046167933,0,0,6.519071310116086,12.116632004300358,CREB1
Reactome_2016,Downstream signal transduction Homo sapiens R-HSA-186763,1/341,0.1580282660331969,0.1908744590491921,0,0,6.421568627450981,11.847674438945711,CREB1
Reactome_2016,DAP12 signaling Homo sapiens R-HSA-2424491,1/344,0.1593125406237351,0.1908744590491921,0,0,6.364431486880466,11.690743636333842,CREB1
Reactome_2016,Signaling by EGFR Homo sapiens R-HSA-177929,1/355,0.1640064778223122,0.1929905893455047,0,0,6.163214061519146,11.142162553650168,CREB1
Reactome_2016,DAP12 interactions Homo sapiens R-HSA-2172127,1/359,0.1657075070784753,0.1929905893455047,0,0,6.093109869646183,10.952554183789342,CREB1
Reactome_2016,Signaling by FGFR2 Homo sapiens R-HSA-5654738,1/361,0.1665568530548321,0.1929905893455047,0,0,6.058641975308642,10.859622373752648,CREB1
Reactome_2016,Signaling by PDGF Homo sapiens R-HSA-186797,1/364,0.1678294128874498,0.1929905893455047,0,0,6.007652280379553,10.722501134785851,CREB1
Reactome_2016,Signaling by FGFR Homo sapiens R-HSA-190236,1/366,0.1686768143098505,0.1929905893455047,0,0,5.974124809741248,10.632572511262758,CREB1
Reactome_2016,NGF signalling via TRKA from the plasma membrane Homo sapiens R-HSA-187037,1/374,0.1720586593918807,0.1951022298461504,0,0,5.84361036639857,10.284285688606571,CREB1
Reactome_2016,Fc epsilon receptor (FCERI) signaling Homo sapiens R-HSA-2454202,1/395,0.1808771729600612,0.2032867342117502,0,0,5.526226734348562,9.449500008322758,CREB1
Reactome_2016,Gastrin-CREB signalling pathway via PKC and MAPK Homo sapiens R-HSA-881907,1/432,0.1962091000628252,0.218583821999814,0,0,5.042278937870585,8.211726150632023,CREB1
Reactome_2016,Signalling by NGF Homo sapiens R-HSA-166520,1/450,0.2035740706402634,0.2248165823592474,0,0,4.835684236575105,7.697081217004717,CREB1
Reactome_2016,"Cell Cycle, Mitotic Homo sapiens R-HSA-69278",1/462,0.20845025056434,0.2282170846695791,0,0,4.706917329476982,7.380704653507602,RAB1A
Reactome_2016,Axon guidance Homo sapiens R-HSA-422475,1/515,0.2296669009853565,0.2492965506422245,0,0,4.21011673151751,6.193609140252348,CREB1
Reactome_2016,Post-translational protein modification Homo sapiens R-HSA-597592,1/521,0.232036240359408,0.2497339197088544,0,0,4.160256410256411,6.077559297974501,RAB1A
