Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2019_Human,Fatty acid elongation,1/27,0.0134211618656948,0.1041694440108342,0,0,85.31623931623932,367.7917019980768,ELOVL5
KEGG_2019_Human,Biosynthesis of unsaturated fatty acids,1/27,0.0134211618656948,0.1041694440108342,0,0,85.31623931623932,367.7917019980768,ELOVL5
KEGG_2019_Human,Long-term potentiation,1/67,0.0330065923938031,0.1041694440108342,0,0,33.54208754208754,114.4136695514984,CAMK2D
KEGG_2019_Human,Amphetamine addiction,1/68,0.0334917127632155,0.1041694440108342,0,0,33.03980099502488,112.21827165973409,CAMK2D
KEGG_2019_Human,Gastric acid secretion,1/75,0.0368814272661001,0.1041694440108342,0,0,29.903903903903903,98.68429377205668,CAMK2D
KEGG_2019_Human,Glioma,1/75,0.0368814272661001,0.1041694440108342,0,0,29.903903903903903,98.68429377205668,CAMK2D
KEGG_2019_Human,ErbB signaling pathway,1/85,0.0417053180950637,0.1041694440108342,0,0,26.33068783068783,83.65592938917332,CAMK2D
KEGG_2019_Human,Insulin secretion,1/86,0.0421865092184754,0.1041694440108342,0,0,26.01960784313725,82.36909635390154,CAMK2D
KEGG_2019_Human,GnRH signaling pathway,1/93,0.0455487630468527,0.1041694440108342,0,0,24.031400966183572,74.2323201774775,CAMK2D
KEGG_2019_Human,Circadian entrainment,1/97,0.0474652783026245,0.1041694440108342,0,0,23.02546296296296,70.17601174086535,CAMK2D
KEGG_2019_Human,Aldosterone synthesis and secretion,1/98,0.047943865635835,0.1041694440108342,0,0,22.78694158075601,69.220448859451,CAMK2D
KEGG_2019_Human,Inflammatory mediator regulation of TRP channels,1/100,0.0489003911418304,0.1041694440108342,0,0,22.32435465768799,67.37423003045056,CAMK2D
KEGG_2019_Human,HIF-1 signaling pathway,1/100,0.0489003911418304,0.1041694440108342,0,0,22.32435465768799,67.37423003045056,CAMK2D
KEGG_2019_Human,Melanogenesis,1/101,0.0493783294859182,0.1041694440108342,0,0,22.1,66.48218412151981,CAMK2D
KEGG_2019_Human,Glucagon signaling pathway,1/103,0.0503335577922038,0.1041694440108342,0,0,21.664488017429196,64.75695871628933,CAMK2D
KEGG_2019_Human,Cholinergic synapse,1/112,0.0546214040317676,0.1041694440108342,0,0,19.8988988988989,57.85265494685789,CAMK2D
KEGG_2019_Human,Neurotrophin signaling pathway,1/119,0.0579443409196367,0.1041694440108342,0,0,18.71186440677966,53.29648635296648,CAMK2D
KEGG_2019_Human,Oocyte meiosis,1/125,0.0607842020747778,0.1041694440108342,0,0,17.801075268817204,49.85058258369441,CAMK2D
