Feature,Statistic,P-value,Adjusted_P-value,Significant
mir.3074,-1.6939583081472456,0.09321185803613952,,False
mir.133a.1,2.4382549484930407,0.015568485570205808,,False
mir.328,-1.1695399636874204,0.24391804064308045,,False
mir.378c,0.699095744649044,0.4850812925418403,,False
mir.374b,-1.4627470369270805,0.144907361016468,,False
mir.33a,-2.6835300903308004,0.008053924092838722,,False
mir.4312,,,,False
mir.1229,-2.6321449077361945,0.00968693798860444,,False
mir.1270.1,-2.4131614511301733,0.017210426723701645,,False
mir.934,0.9140825174560671,0.3616618989890864,,False
