Feature,Statistic,P-value,Adjusted_P-value,Significant
mir.508,-0.7557806918497378,0.4512163978878979,0.4512163978878979,False
mir.514.1,-1.0296058412800626,0.30554527742344784,0.4512163978878979,False
mir.513c,-0.8769718797767657,0.38243840309824684,0.4512163978878979,False
mir.509.2,-0.7966014326633186,0.4272049030252236,0.4512163978878979,False
mir.509.1,-0.7924090963994237,0.4296200370004095,0.4512163978878979,False
mir.514b,-0.7673140763240006,0.4444220545339608,0.4512163978878979,False
mir.510,-0.8593941245866181,0.39203582196884257,0.4512163978878979,False
mir.509.3,-0.7799195202752801,0.4369606010924646,0.4512163978878979,False
mir.513b,-0.8999482188854578,0.37003797452662335,0.4512163978878979,False
mir.513a.2,-0.7969644222137922,0.4271454695587268,0.4512163978878979,False
