Feature,Statistic,P-value,Adjusted_P-value,Significant
PIGB,3.841671573490029,0.00015826023652072775,0.0015826023652072774,True
PFN2,-3.5901729470552786,0.0004384838433653782,0.0021924192168268908,True
PDZD9,2.9708254024599476,0.0032477743140933266,0.010825914380311089,True
PCBP4,-2.812780423846337,0.005478979054136325,0.013697447635340811,True
LOC728392,-2.66189667486873,0.008750677707804584,0.01750135541560917,True
ABCC6P1,2.347483308502162,0.019895734973168336,0.033159558288613895,True
PCYT1B,2.2089304210328606,0.028034405334518463,0.04004915047788352,True
PARP4,1.7940319523345987,0.07393583906944876,0.08215093229938751,False
PERP,1.8294745895717222,0.06846922272812919,0.08215093229938751,False
PICALM,-0.9044123210903889,0.36708438867557025,0.36708438867557025,False
