Feature,Statistic,P-value,Adjusted_P-value,Significant
cg26799209,-3.9897964236165024,8.83100126338964e-05,0.00014718335438982733,True
cg06744585,-4.031758846123142,7.942645267872395e-05,0.00014718335438982733,True
cg03048083,-4.017864756148142,8.351291547276762e-05,0.00014718335438982733,True
cg00663077,-4.136756420042336,5.10017362048755e-05,0.00014718335438982733,True
cg06428620,-4.207837620056553,3.671877893134284e-05,0.00014718335438982733,True
cg01916088,-4.008128935518214,8.252261324780622e-05,0.00014718335438982733,True
cg07835424,-3.940802527338361,0.00010953377616699038,0.00015647682309570055,True
cg13448968,-3.3072758604399013,0.0011037541126581196,0.0013796926408226494,True
cg21039708,-3.1157911093915307,0.002107755047235928,0.0023419500524843643,True
cg23030069,-2.406116975924921,0.017135422461388397,0.017135422461388397,True
