Feature,Statistic,P-value,Adjusted_P-value,Significant
LOC642597,-0.9897244559425091,0.3246496892617279,0.6492993785234558,False
OR5W2,-0.9999999999999998,0.3196769460239253,0.6492993785234558,False
CYP1A1,-1.041472763940856,0.2999679834166078,0.6492993785234558,False
SNORA71B,-1.047945683478696,0.29620225521852,0.6492993785234558,False
TNP1,-1.1233531197694089,0.263923002994862,0.6492993785234558,False
LOC650368,0.4765432019570721,0.6341132269124664,0.8406601970600913,False
OR2T5,-0.4532417019441931,0.6511995866111839,0.8406601970600913,False
LOC400794,0.42316077649437583,0.672528157648073,0.8406601970600913,False
MAPKAP1,0.07919192572542284,0.9369604966583379,0.9762996286565077,False
OR13C8,0.029750263124288277,0.9762996286565077,0.9762996286565077,False
