Feature,Statistic,P-value,Adjusted_P-value,Significant
ZNF71,-3.6652145957022424,0.0003168537299013411,0.0031685372990134107,True
FUBP3,-0.7950314884067405,0.42749848180416816,0.7940875767264521,False
SLC4A1AP,1.0553950127986793,0.29246832516759375,0.7940875767264521,False
RAB10,-0.5900797464573603,0.5558613037085165,0.7940875767264521,False
KIAA0174,-0.8556385301508399,0.393296939506121,0.7940875767264521,False
KIAA0100,0.6217801870329501,0.5347044751006242,0.7940875767264521,False
CTNND1,1.0034268554845307,0.31671746500503867,0.7940875767264521,False
CREB1,-0.32434579499527877,0.7459885472155234,0.8716304865253037,False
RAB1A,0.27384993421404075,0.7844674378727734,0.8716304865253037,False
ERLEC1,-0.03716954698910004,0.970385993755507,0.970385993755507,False
