Feature,Statistic,P-value,Adjusted_P-value,Significant
mir.3150,-2.737178825504387,0.007007675601457525,0.07007675601457525,False
mir.3164,-2.4107186002010996,0.01735367518746812,0.08676837593734059,False
mir.101.2,2.167810846491551,0.03103188388085703,0.1034396129361901,False
mir.1227,-1.352044499454836,0.1782912160562604,0.4457280401406509,False
mir.302c,-1.0917960707630427,0.27728933650963145,0.5545786730192629,False
mir.3688,-0.7297131315439775,0.46635444776019985,0.6929732750597719,False
mir.378c,0.699095744649044,0.4850812925418403,0.6929732750597719,False
mir.101.1,0.5730962774971038,0.5671385703524016,0.7089232129405019,False
mir.320c.2,0.4529263746845319,0.6510304611922149,0.723367179102461,False
mir.374c,0.312181352403493,0.7551462594097939,0.7551462594097939,False
