Feature,Statistic,P-value,Adjusted_P-value,Significant
cg11498607,-4.521557105262134,1.0175705402361267e-05,0.00010175705402361266,True
cg13620034,-3.9336228802251867,0.00011156554628894856,0.0003718851542964952,True
cg26799209,-3.9897964236165024,8.83100126338964e-05,0.0003718851542964952,True
cg06204711,-3.140466657980062,0.0019202853991115044,0.004800713497778761,True
cg11891579,-2.7109099974793947,0.0073282356790721525,0.014656471358144305,True
cg09919570,-2.611825456932706,0.00971187055767618,0.016186450929460302,True
cg23947326,-2.3974426098529005,0.017381214751566003,0.019312460835073337,True
cg23030069,-2.406116975924921,0.017135422461388397,0.019312460835073337,True
cg21029769,-2.435654715827765,0.01572036886426321,0.019312460835073337,True
cg05481991,-1.8860866699410055,0.06066114545514931,0.06066114545514931,False
