Selected_Features,Runtime_seconds
ACTBL2.345651,2146.1352088451385
ALPL.249,2146.1352088451385
APCDD1L.164284,2146.1352088451385
ASMT.438,2146.1352088451385
C1orf127.148345,2146.1352088451385
C1orf9.51430,2146.1352088451385
C20orf186.149954,2146.1352088451385
C21orf7.56911,2146.1352088451385
C7orf46.340277,2146.1352088451385
CARTPT.9607,2146.1352088451385
CCL1.6346,2146.1352088451385
CDK19.23097,2146.1352088451385
CECR4.100130717,2146.1352088451385
CTDP1.9150,2146.1352088451385
DDB1.1642,2146.1352088451385
DUOXA2.405753,2146.1352088451385
EVC2.132884,2146.1352088451385
FGF9.2254,2146.1352088451385
FRMD7.90167,2146.1352088451385
GABRG3.2567,2146.1352088451385
GAD2.2572,2146.1352088451385
GIPC2.54810,2146.1352088451385
GLTPD2.388323,2146.1352088451385
IL26.55801,2146.1352088451385
KCNJ8.3764,2146.1352088451385
LCE1A.353131,2146.1352088451385
LCMT2.9836,2146.1352088451385
LOC145783.145783,2146.1352088451385
LOC285692.285692,2146.1352088451385
LOC440944.440944,2146.1352088451385
LRRC61.65999,2146.1352088451385
LYPD5.284348,2146.1352088451385
MFRP.83552,2146.1352088451385
MORC4.79710,2146.1352088451385
MSL2.55167,2146.1352088451385
NMUR1.10316,2146.1352088451385
OR4K5.79317,2146.1352088451385
OR6B1.135946,2146.1352088451385
PCBP4.57060,2146.1352088451385
PCYT1B.9468,2146.1352088451385
PFN2.5217,2146.1352088451385
RAB5A.5868,2146.1352088451385
RPL8.6132,2146.1352088451385
RPS4X.6191,2146.1352088451385
RSPO4.343637,2146.1352088451385
SGIP1.84251,2146.1352088451385
SLCO4A1.28231,2146.1352088451385
SNORA31.677814,2146.1352088451385
SNORA81.677847,2146.1352088451385
SRPK1.6732,2146.1352088451385
TADA2B.93624,2146.1352088451385
TARDBP.23435,2146.1352088451385
TMBIM4.51643,2146.1352088451385
TRIP4.9325,2146.1352088451385
UNKL.64718,2146.1352088451385
USP24.23358,2146.1352088451385
VPS33A.65082,2146.1352088451385
cg00663077,2146.1352088451385
cg02090762,2146.1352088451385
cg03249131,2146.1352088451385
cg03576469,2146.1352088451385
cg04615639,2146.1352088451385
cg04908380,2146.1352088451385
cg06204711,2146.1352088451385
cg08445802,2146.1352088451385
cg08609270,2146.1352088451385
cg11195065,2146.1352088451385
cg11498607,2146.1352088451385
cg13293535,2146.1352088451385
cg13620034,2146.1352088451385
cg19284039,2146.1352088451385
cg21802055,2146.1352088451385
cg26718878,2146.1352088451385
hsa.mir.3150,2146.1352088451385
hsa.mir.3175,2146.1352088451385
hsa.mir.3667,2146.1352088451385
hsa.mir.544b,2146.1352088451385
