Feature,Statistic,P-value,Adjusted_P-value,Significant
mir.129.1,-1.1226614156496757,0.2642105141218181,0.41115577283991817,False
mir.129.2,-1.1211473969647232,0.26485143581111026,0.41115577283991817,False
mir.670,-0.9979189754969824,0.32063244182358003,0.41115577283991817,False
mir.3651,-1.1815808085170674,0.23914816446140646,0.41115577283991817,False
mir.3609,-0.9795212585227638,0.32892461827193453,0.41115577283991817,False
mir.138.2,-1.9905825426685546,0.049004484861178664,0.41115577283991817,False
mir.3937,-1.322239215994806,0.1878599323521627,0.41115577283991817,False
mir.372,-1.5917821621818145,0.11452769475636401,0.41115577283991817,False
mir.183,-0.8401591539531199,0.4018142141762582,0.44646023797362017,False
mir.145,0.6535443022935762,0.5141105753413433,0.5141105753413433,False
