Feature,Statistic,P-value,Adjusted_P-value,Significant
PTPLAD2,3.7282158330845494,0.00023615220152828023,0.001180761007641401,True
PIGB,3.841671573490029,0.00015826023652072775,0.001180761007641401,True
PFN2,-3.5901729470552786,0.0004384838433653782,0.0014616128112179274,True
PTK2,-3.2627222389549018,0.0013765949784633254,0.0034414874461583134,True
PDZD9,2.9708254024599476,0.0032477743140933266,0.006495548628186653,True
ACPL2,-2.8714031784670464,0.004706703702040452,0.006723862431486361,True
PSMD10,-2.8710055622750885,0.0046343363672629225,0.006723862431486361,True
POU5F2,2.1287665277448617,0.03414833049271536,0.041169081972235795,True
PDE4C,-2.1110912153668475,0.037052173775012215,0.041169081972235795,True
OR2M5,-1.9732941190777007,0.05116769725209544,0.05116769725209544,False
