Feature,Statistic,P-value,Adjusted_P-value,Significant
RLIM,-4.367428250201544,1.9502557909675663e-05,0.00019502557909675662,True
ZNF550,-3.2789802729608137,0.0012268827200473465,0.006134413600236732,True
CAMK2D,-2.848265329249351,0.0048752381048574765,0.016250793682858256,True
ESCO1,-2.666849599328347,0.008312591300642205,0.02078147825160551,True
MIB1,-2.419837370227582,0.016384357858289948,0.027307263097149915,True
FAM127B,-2.4366979909539106,0.015850807372139248,0.027307263097149915,True
SSRP1,-2.3225932209388342,0.021269058082048507,0.030384368688640726,True
C14orf138,-2.0168764102709273,0.045130562691875334,0.056413203364844164,False
ELOVL5,-1.9188379032903802,0.05649984670797352,0.06277760745330391,False
ELP2,-0.8466633479483393,0.39838708035399595,0.39838708035399595,False
