Feature,Statistic,P-value,Adjusted_P-value,Significant
mir.421,-3.3152700983806294,0.0011860564877600671,0.003953521625866891,True
mir.361,-3.394837798428419,0.0008743605544871835,0.003953521625866891,True
mir.3677,-3.506847263053497,0.0006073769087412835,0.003953521625866891,True
mir.3680,-2.8288593908202677,0.005352913794360509,0.013382284485901272,True
mir.3678,2.052865912467333,0.041144771086843154,0.08228954217368631,False
let.7i,1.7303111196323435,0.08472745347557867,0.13241795186914532,False
mir.3667,-1.691709898490756,0.09269256630840172,0.13241795186914532,False
mir.3686,-1.6283750209653898,0.10653035338652965,0.13316294173316207,False
mir.3685,-1.3247762379535573,0.1880469178739751,0.20894101985997232,False
mir.3613,0.8879015619196524,0.3754372658652916,0.3754372658652916,False
