Feature,Statistic,P-value,Adjusted_P-value,Significant
cg01056242,2.768424249928945,0.00619561650588492,0.052100385348172545,False
cg06516502,2.587694986218344,0.01042007706963451,0.052100385348172545,False
cg15356461,1.588691164121794,0.11365462922914932,0.28413657307287327,False
cg06878649,1.648521335348809,0.10077013901275751,0.28413657307287327,False
cg16400350,0.761709549045354,0.4471141779466806,0.7451902965778011,False
cg14196395,0.8560502716125425,0.392907324301479,0.7451902965778011,False
cg01377200,0.4792292763177699,0.6322444396638436,0.7903055495798045,False
cg02681842,0.5532443684418862,0.5806656925314317,0.7903055495798045,False
cg09383172,0.09211443141063462,0.9266904492262141,0.9266904492262141,False
cg10402321,0.1298793709765902,0.8967775378529965,0.9266904492262141,False
