Feature,Statistic,P-value,Adjusted_P-value,Significant
mir.3941,-3.335716261597525,0.0010454857586334584,0.010454857586334583,True
mir.3150,-2.737178825504387,0.007007675601457525,0.035038378007287624,True
mir.3164,-2.4107186002010996,0.01735367518746812,0.057845583958227066,False
mir.181c,-2.0106616411554303,0.04584079741756555,0.11460199354391386,False
mir.320b.2,-1.3032976500458622,0.19414645708853298,0.38829291417706596,False
mir.4284,-0.9837193464742954,0.32630666550872534,0.5321560371510284,False
mir.582,0.8418670522128435,0.400687254894185,0.5321560371510284,False
mir.720,-0.7979274459341134,0.4257248297208228,0.5321560371510284,False
mir.374c,0.312181352403493,0.7551462594097939,0.8390513993442154,False
mir.1276,-0.0493211867547826,0.9607089309530645,0.9607089309530645,False
