Feature,Statistic,P-value,Adjusted_P-value,Significant
cg04615639,-3.4995814088652835,0.0005561715774579297,0.005561715774579297,True
cg23045908,-1.7611565393095021,0.07965113796090906,0.3982556898045453,False
cg04874286,-0.19197463306048054,0.8479388841865264,0.9968774648779224,False
cg15723222,-0.21685170390236366,0.82852458490963,0.9968774648779224,False
cg02415779,-0.003918036321771796,0.9968774648779224,0.9968774648779224,False
cg01005211,0.025846571105993334,0.9794039984443774,0.9968774648779224,False
cg03778207,-0.11473132065406352,0.9087577368808866,0.9968774648779224,False
cg27019717,-0.43870056217053993,0.6612785273154878,0.9968774648779224,False
cg23542075,-0.13444814399671817,0.8931745234754738,0.9968774648779224,False
cg27326113,0.8011521604882941,0.423890522974103,0.9968774648779224,False
