Feature,Statistic,P-value,Adjusted_P-value,Significant
PAICS,-3.0022794632213103,0.0032489236541500825,0.03248923654150082,True
LINGO1,-2.4332976604942416,0.01644000138830856,0.08220000694154281,False
ATP6V0A1,1.4002475764445137,0.16325166537699962,0.39827652832668614,False
XRCC3,-1.288042038465966,0.19913826416334307,0.39827652832668614,False
FCHO1,1.3102806517624,0.1911863238348602,0.39827652832668614,False
ZCCHC2,0.941437444151456,0.3476195839332996,0.516039727892163,False
LIF,0.9145399916440692,0.36122780952451405,0.516039727892163,False
PACRG,0.7010101629301625,0.4838874731629279,0.6048593414536598,False
PRIM1,-0.2865235251080353,0.7747020667110485,0.8336544705735398,False
AKT1,0.21022960981137556,0.8336544705735398,0.8336544705735398,False
