Feature,Statistic,P-value,Adjusted_P-value,Significant
let.7i,1.7303111196323435,0.08472745347557867,0.26632588346632413,False
mir.3678,2.052865912467333,0.041144771086843154,0.26632588346632413,False
mir.3686,-1.6283750209653898,0.10653035338652965,0.26632588346632413,False
mir.3916,1.7407566412147377,0.08300472313167255,0.26632588346632413,False
mir.3685,-1.3247762379535573,0.1880469178739751,0.2686384541056787,False
mir.374b,-1.4627470369270805,0.144907361016468,0.2686384541056787,False
mir.3914.2,1.3811253112393,0.16901159722482828,0.2686384541056787,False
mir.3684,-1.1736070461552968,0.2420197077288211,0.30252463466102636,False
mir.3909,0.6263155857181892,0.5316772907946377,0.5907525453273752,False
mir.3912,0.3566920653632119,0.7216774773022856,0.7216774773022856,False
