Feature,Statistic,P-value,Adjusted_P-value,Significant
RELA,3.0334531307434145,0.00266845291750921,0.01334226458754605,True
SFRS3,-3.1257026368092142,0.0020905175539244255,0.01334226458754605,True
SBDSP1,2.504213198676005,0.012963532573254782,0.043211775244182606,True
SBDS,2.222862067599996,0.02713155507458657,0.059137189237307125,False
TRIM4,2.1870170927773365,0.029568594618653563,0.059137189237307125,False
PRKRIP1,1.5839635730519692,0.11445338061865956,0.1907556343644326,False
SFRS5,1.0519227004582956,0.29400087572249983,0.42000125103214264,False
FAM10A4,0.3087811517152773,0.7577700861728668,0.9472126077160834,False
LOC729991,-0.023737653744519326,0.9810806380874993,0.9810806380874993,False
RABGEF1,0.036088639045772156,0.9712421107108699,0.9810806380874993,False
