Feature,Statistic,P-value,Adjusted_P-value,Significant
cg19870698,-4.251332244079331,3.133916302647605e-05,0.0003133916302647605,True
cg20610452,-3.5206188208370803,0.0005194451065992777,0.0025972255329963882,True
cg21039708,-3.1157911093915307,0.002107755047235928,0.007025850157453094,True
cg00590260,2.376038993846894,0.018365571004556897,0.036731142009113794,True
cg20148575,-2.4186995915219973,0.01657045757032998,0.036731142009113794,True
cg21769093,2.2299756725083255,0.02681939038127154,0.0446989839687859,True
cg19284039,-1.5540814755097854,0.12148347166496923,0.17354781666424177,False
cg22524061,-1.1975116955321115,0.2323544265485769,0.2904430331857211,False
cg21802055,0.9815281255792275,0.3274067469425519,0.3637852743806132,False
cg21584831,-0.701027932191333,0.484068074598084,0.484068074598084,False
