Feature,Statistic,P-value,Adjusted_P-value,Significant
SSH3,3.5104247424919968,0.0005248904872731917,0.005248904872731917,True
MCM2,-2.962474299237926,0.0035033488651609788,0.017516744325804894,True
MEIS1,2.1692959108190952,0.03090158048996676,0.10300526829988921,False
RBM15,-1.5882215677464298,0.11387569387342773,0.2846892346835693,False
CCT3,-1.3115506592847703,0.1913065402312117,0.3826130804624234,False
FANCI,-0.7670957171760423,0.4437829043298529,0.6663115383086262,False
NUDT14,-0.7308332770176181,0.4664180768160383,0.6663115383086262,False
RPL3,-0.3013284146661972,0.763472226839729,0.9543402835496613,False
ZNF276,-0.053607012137035115,0.9572979789175597,0.9572979789175597,False
UBE2T,0.0777269143024764,0.9381080978791635,0.9572979789175597,False
