Feature,Statistic,P-value,Adjusted_P-value,Significant
cg23045908,-1.7611565393095021,0.07965113796090906,0.3982556898045453,False
cg03623968,-1.9470401396907875,0.052835081490319374,0.3982556898045453,False
cg14259707,-1.4226564335141556,0.15616235871923687,0.5205411957307896,False
cg18108818,-1.2110447653406349,0.2271479810503695,0.5678699526259238,False
cg23936031,-0.8274885107627962,0.4088392960795909,0.5840561372565585,False
cg01370449,-0.8815215452707028,0.37896442977742284,0.5840561372565585,False
cg02248486,-0.9055773655405395,0.36613694548669296,0.5840561372565585,False
cg08500417,-0.6578805967639594,0.5112772618149439,0.6179053525925658,False
cg04863892,-0.5895111386572047,0.5561148173333093,0.6179053525925658,False
cg02415779,-0.003918036321771796,0.9968774648779224,0.9968774648779224,False
