Feature,Statistic,P-value,Adjusted_P-value,Significant
rs1510480,2.828386750527389,0.00511065153841084,0.051106515384108396,False
rs1941955,2.5867550593356965,0.010340081625965256,0.05170040812982628,False
rs2857639,1.866281216221604,0.06334888152305418,0.14433249728352657,False
rs654498,1.8073041944140626,0.07216624864176328,0.14433249728352657,False
rs715359,-1.8183110673667455,0.07024283922641593,0.14433249728352657,False
cg00211215,1.3859118796163452,0.16718240487661348,0.2786373414610225,False
cg04234412,-0.4205053473119248,0.6745304288284548,0.8904488343771927,False
rs9292570,0.36917921750967364,0.7123590675017542,0.8904488343771927,False
rs264581,0.16708710774842978,0.8674585602536372,0.9638428447262636,False
cg18391209,-0.04041844304956052,0.9677956553163449,0.9677956553163449,False
