Feature,Statistic,P-value,Adjusted_P-value,Significant
cg16234557,-4.366484714513776,1.8263587535240364e-05,0.00018263587535240363,True
cg08347500,-3.812489563579084,0.0001781674726157682,0.000890837363078841,True
cg06274159,-2.68056190593173,0.007920058656054657,0.022546948824699493,True
cg08892613,2.634560394294865,0.009018779529879797,0.022546948824699493,True
cg10145246,-2.4705505531539758,0.014245147219564743,0.028490294439129486,True
cg22961278,-1.4890131548872079,0.1379949882363687,0.22999164706061448,False
cg13351249,1.3536924148883467,0.17729800615089017,0.2532828659298431,False
cg18588323,-1.1866372796828593,0.23662803736219495,0.2957850467027437,False
cg02773086,-0.6398345391925805,0.5229260901409745,0.5810289890455271,False
cg01246617,-0.004592395627995845,0.99633980809462,0.99633980809462,False
