Feature,Statistic,P-value,Adjusted_P-value,Significant
mir.324,-2.8304266967557945,0.005268118649022981,0.052681186490229806,False
mir.93,-2.361482604675173,0.019349751630095696,0.07135303939293994,False
mir.423,-2.32272035741174,0.02140591181788198,0.07135303939293994,False
mir.106b,-2.2041288475744167,0.028687027237836435,0.07171756809459108,False
mir.32,-1.7583271783721088,0.08025838421777332,0.16051676843554663,False
mir.25,-1.6367759624382408,0.10337446454541704,0.17229077424236175,False
mir.125a,-1.348157172260473,0.17929643820968183,0.25613776887097406,False
mir.3199.2,-0.6150498947716768,0.5391548520145844,0.6739435650182304,False
mir.21,-0.4127183086702839,0.6802390395214277,0.7558211550238085,False
mir.15a,0.22552523718896494,0.821784713151336,0.821784713151336,False
